config_hash,retrieval.type,retrieval.top_k,chunking.chunk_size,chunking.overlap,rerank.enabled,mean_quality_f1,mean_retrieval_recall_k,mean_retrieval_precision_k,mean_retrieval_ms,mean_latency_ms,mean_cost_usd,mean_rerank_latency_ms,std_latency_ms,model_load_ms,index_build_ms,artifact_total_ms,retrieval_cold_ms,retrieval_warm_mean_ms,retrieval_warm_std_ms,end_to_end_cold_ms,end_to_end_warm_mean_ms,end_to_end_warm_std_ms,total_cold_ms,total_warm_ms,gen_latency_mean_ms,gen_latency_std_ms,gen_cost_total_usd,mean_generation_f1,mean_generation_em,mean_generation_faithfulness,n_queries
fcc04e53e3b0,bm25,5,150,30,False,0.044421702094688556,0.632,0.25620000000000004,12.995514890295453,13.048150911461562,0.0,0.0,5.467150805746263,0.0,129.61437500780448,292.40608296822757,11.516999977175146,12.99847784603317,5.466845030115221,11.719707981683314,13.050813121741678,5.472312736790473,141.3340829894878,13.050813121741678,0.0,0.0,0.0,0.0,0.0,0.0,500
8fdc29eca93b,bm25,5,150,30,True,0.050960458866860604,0.732,0.29680000000000006,14.449414680362679,40.23059845052194,0.0,25.715496341930702,57.223921033255984,0.0,118.60924999928102,268.0560000007972,9.616124967578799,14.459100631690903,6.434773818093058,1285.7857079943642,37.734496026586385,12.634610782460665,1404.3949579936452,37.734496026586385,0.0,0.0,0.0,0.0,0.0,0.0,500
a15da8b59d95,bm25,5,250,30,False,0.04400790084807929,0.637,0.25720000000000004,11.33831050246954,11.3853796714684,0.0,0.0,5.743211181504955,0.0,125.33641699701548,304.6699999831617,9.190541051793844,11.342614649665283,5.741641854432369,9.246750036254525,11.389665502400693,5.74817414008557,134.58316703327,11.389665502400693,0.0,0.0,0.0,0.0,0.0,0.0,500
eb4eb01bd188,bm25,5,250,30,True,0.050791262747664476,0.736,0.297,12.903320291545242,33.179749072063714,0.0,20.21778276958503,7.798177335141463,0.0,121.46799999754876,273.38020800380036,8.580458990763873,12.911983340244202,5.371654596287186,59.25237503834069,33.12749932062829,7.717896220674323,180.72037503588945,33.12749932062829,0.0,0.0,0.0,0.0,0.0,0.0,500
6ffe3179b4d8,bm25,8,150,30,False,0.044421702094688556,0.728,0.186197619047619,11.897177791921422,11.948234671843238,0.0,0.0,5.43983091963391,0.0,123.80429200129583,286.0934170312248,9.427458979189396,11.902127128219481,5.435171541213628,9.490708005614579,11.953159574981973,5.444173945820806,133.2950000069104,11.953159574981973,0.0,0.0,0.0,0.0,0.0,0.0,500
831471bbaf97,bm25,8,150,30,True,0.05072405458927986,0.805,0.20545238095238094,13.685283142607659,44.90718943532556,0.0,31.161049503134564,11.928158691850587,0.0,142.18237501336262,321.6218330198899,10.449083987623453,13.691768511655724,5.878458141858156,84.1140000266023,44.828618672617594,11.809902370592356,226.29637503996491,44.828618672617594,0.0,0.0,0.0,0.0,0.0,0.0,500
48e351a98bc4,bm25,8,250,30,False,0.04400790084807929,0.721,0.18232857142857142,10.35363704804331,10.400440745637752,0.0,0.0,5.122201169205133,0.0,133.25375004205853,302.42183298105374,8.64279200322926,10.357065595227306,5.121818903161181,8.704917039722204,10.403838588735779,5.126777270897449,141.95866708178073,10.403838588735779,0.0,0.0,0.0,0.0,0.0,0.0,500
ba9b10bbda96,bm25,8,250,30,True,0.05092661869184396,0.802,0.20232142857142857,12.074773240601644,40.93904893717263,0.0,28.806268601794727,8.25412556957312,0.0,158.3705410012044,318.5228340444155,8.607541967649013,12.081721599866079,4.903244528044877,61.837540997657925,40.89716819156043,8.209058281083736,220.20808199886233,40.89716819156043,0.0,0.0,0.0,0.0,0.0,0.0,500
519a40b52209,bm25,12,150,30,False,0.044421702094688556,0.798,0.13727727272727272,10.678643548162654,10.729698483133689,0.0,0.0,5.2174577531260296,0.0,126.6532500158064,273.4284999896772,9.40412504132837,10.681197693466931,5.218669841333338,9.47666697902605,10.73220956831226,5.222391088450603,136.12991699483246,10.73220956831226,0.0,0.0,0.0,0.0,0.0,0.0,500
585d5553212f,bm25,12,150,30,True,0.05014318486740646,0.846,0.1448979797979798,15.283968311268836,60.748121184064075,0.0,45.38574035069905,14.437127217056009,0.0,159.99933297280222,313.30674997298047,9.512958000414073,15.295533462192394,7.3111152656897165,108.25020901393145,60.65292661927476,14.29367261155276,268.2495419867337,60.65292661927476,0.0,0.0,0.0,0.0,0.0,0.0,500
