qid,quality_f1,retrieval_recall_k,retrieval_precision_k,retrieval_ms,latency_ms,cost_usd,generation_enabled,generation_f1,generation_em,generation_faithfulness,generation_latency_ms,generation_cost_usd,retrieval_type,top_k,chunk_mode,chunk_size,overlap,rerank_enabled,retrieval_cache_hit_rate
5a8a3e745542996c9b8d5e70,0.10256410256410256,1.0,0.25,9.76041704416275,9.802249958738685,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ac23ff0554299636651994d,0.047619047619047616,0.5,0.125,6.14762504119426,6.19212503079325,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae4a3265542995ad6573de5,0.0,1.0,0.25,11.048500018659979,11.091249994933605,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae0361155429925eb1afc2c,0.0,1.0,0.25,34.34233303414658,34.397499985061586,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5abc0a5d5542993f40c73c64,0.0,1.0,0.25,8.881834044586867,8.922750013880432,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a7cc50e554299452d57ba3e,0.0,1.0,0.25,7.120291993487626,7.157417014241219,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5abf63f15542997ec76fd3ea,0.0,1.0,0.25,10.722583043389022,10.763707978185266,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8ef2a75542995a26add583,0.0,1.0,0.25,10.65837498754263,10.697250021621585,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a80721b554299485f5985ef,0.13636363636363635,0.5,0.125,8.864166971761733,8.911166980396956,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ab51dae5542991779162d82,0.0,1.0,0.25,7.633875007741153,7.676250010263175,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a7571135542992d0ec05f98,0.0,0.5,0.125,8.157207979820669,8.193208021111786,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a7a0e1e5542990783324e1a,0.09756097560975609,1.0,0.25,8.03120800992474,8.069707953836769,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a74106b55429979e288289e,0.0,0.5,0.125,7.842249993700534,7.877499971073121,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a79311755429970f5fffe67,0.0,0.5,0.125,12.257791997399181,12.30287499492988,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ab2d3df554299194fa9352c,0.0,1.0,0.25,7.3219999903813004,7.36499996855855,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a760ab65542994ccc918697,0.0,1.0,0.2857142857142857,12.412334035616368,12.449708010535687,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a7d54165542995f4f402256,0.0,1.0,0.25,8.77533300081268,8.811457955744117,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ab859a955429934fafe6d7b,0.0,1.0,0.25,13.709874998312443,13.75729200663045,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5add61d65542995b365fab21,0.0,0.5,0.125,5.7461250107735395,5.789791001006961,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8e068b5542995085b37384,0.0,1.0,0.2857142857142857,4.936625016853213,4.969333007466048,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5abbf698554299114383a0b5,0.15789473684210528,0.5,0.125,9.550540999043733,9.591542009729892,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8e1027554299653c1aa15f,0.2222222222222222,1.0,0.25,15.785041963681579,15.832000004593283,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ab84bf555429916710eb01f,0.0,0.5,0.125,9.485042013693601,9.526583016850054,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a77724455429972597f153e,0.0,0.0,0.0,6.863249989692122,6.902082997839898,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a87c13f5542996e4f30890c,0.0,1.0,0.25,9.811541007366031,9.85370803391561,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ab96ab755429970cfb8eacd,0.046511627906976744,0.0,0.0,7.287958986125886,7.3336249915882945,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8a43eb5542996c9b8d5e82,0.17142857142857143,0.5,0.125,13.753040984738618,13.79566703690216,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae73acb5542991e8301cc07,0.052631578947368425,0.5,0.125,5.247582972515374,5.284874991048127,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a7320565542991f9a20c61d,0.1111111111111111,1.0,0.25,5.2961669862270355,5.33508398802951,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae32e125542991a06ce9946,0.0,0.0,0.0,9.660458017606288,9.698874957393855,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5adc53f75542996e6852530a,0.0,1.0,0.25,4.007874988019466,4.041832988150418,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8b20335542996c9b8d5fb3,0.21276595744680854,1.0,0.25,15.350874979048967,15.399083029478788,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a85fb085542994775f606de,0.0,0.5,0.125,9.73912503104657,9.779541986063123,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a7be2595542997c3ec972ac,0.0,1.0,0.25,5.368791986256838,5.407666030805558,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a77152355429966f1a36c2e,0.05882352941176471,1.0,0.25,9.012957976665348,9.050624968949705,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8f4c8d554299458435d5a3,0.0,0.5,0.125,10.344750015065074,10.38225000957027,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a80840f554299485f59863b,0.0,1.0,0.25,8.080459025222808,8.12108296668157,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8361b65542992ef85e22a0,0.0,0.5,0.125,8.861167007125914,8.90020898077637,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae7ba7a5542993210983f12,0.0,0.5,0.125,15.01224999083206,15.055499970912933,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ac2acff55429921a00ab02b,0.0,0.5,0.125,7.524791988544166,7.564832980278879,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5aba7cfe554299232ef4a2fd,0.0,0.5,0.125,12.93162495130673,12.985499983187765,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae5aba0554299546bf82f17,0.15,1.0,0.25,15.210750047117472,15.28162503382191,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae1f4cb554299234fd0436d,0.0,0.5,0.125,7.366833975538611,7.411582977510989,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae7e1fc55429952e35ea9cc,0.0689655172413793,0.5,0.125,11.143499985337257,11.209708987735212,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae37c765542992f92d822d4,0.1621621621621622,0.5,0.16666666666666666,11.728791985660791,11.78524998249486,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae33c4d5542992f92d82262,0.05714285714285714,0.5,0.125,8.87191598303616,8.918916981201619,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a77cb335542997042120b3a,0.0,1.0,0.25,8.819709008093923,8.86304205050692,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8979f4554299669944a52e,0.0,0.5,0.125,8.810125000309199,8.848875004332513,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a713ea95542994082a3e6e4,0.0,0.5,0.125,7.020499964710325,7.060749980155379,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a78bd9b554299078472774a,0.0625,1.0,0.25,6.223583011887968,6.2658750102855265,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a7625e8554299109176e66a,0.0,0.5,0.125,7.3800000245682895,7.415000000037253,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae2dd2055429928c423950d,0.0,1.0,0.25,7.935999950859696,7.977125002071261,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5abdf12255429976d4830a2f,0.09302325581395349,1.0,0.25,13.765167037490755,13.833166973199695,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a88658955429938390d3f47,0.0,1.0,0.25,9.093332977499813,9.143582952674478,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a86ebac55429960ec39b6d6,0.10526315789473684,1.0,0.2857142857142857,11.383374978322536,11.423333955463022,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5aba5d2e55429901930fa799,0.0,0.5,0.125,14.089957985561341,14.130417024716735,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae5736e5542990ba0bbb2b3,0.0,1.0,0.2857142857142857,11.038583004847169,11.081624950747937,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae005b555429942ec259bec,0.0,0.5,0.125,8.058791980147362,8.100249979179353,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a7759fc5542993569682d60,0.25,1.0,0.25,5.665333999786526,5.697833024896681,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a835478554299123d8c20ed,0.0,1.0,0.25,6.492333021014929,6.536791974212974,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5aba749055429901930fa7d8,0.047619047619047616,1.0,0.25,5.426249990705401,5.468707997351885,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5abfb3425542990832d3a1c0,0.1111111111111111,1.0,0.25,5.946208024397492,5.984708026517183,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ac3165c5542995ef918c10a,0.12903225806451613,0.5,0.125,6.807499972637743,6.846166972536594,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae53b545542990ba0bbb23c,0.14634146341463414,1.0,0.25,8.18595796590671,8.228874998167157,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae224da554299234fd043ee,0.0,1.0,0.25,5.309542000759393,5.345791985746473,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae2b770554299495565db0f,0.0,1.0,0.25,11.268624977674335,11.309624998830259,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a80b3a9554299485f5986cc,0.0,0.5,0.125,4.4464580132626,4.482000018469989,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8e0a005542995085b373a1,0.0,0.5,0.125,7.5026670238003135,7.539540994912386,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ac1b8ee5542994d76dccedc,0.13333333333333333,1.0,0.25,6.848458026070148,6.887666997499764,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
